feature,median,q1,q3,iqr,min,max
people_count_mean,7.790322580645161,5.68,10.496,4.816000000000001,1.568,16.81451612903226
people_count_std,1.2156506289279434,1.004827059426069,1.517018222297011,0.5121911628709419,0.4288017814118028,2.5125491489335
avg_density_mean,3.381e-05,2.46512e-05,4.555264e-05,2.090144e-05,6.80512e-06,0.0001915525503355
avg_speed_mean,31.41630263492064,24.804372080104624,37.784163485847486,12.979791405742862,5.927346666666667,52.87578976046176
avg_speed_std,9.668535046858205,8.092416564359871,11.595023499971418,3.5026069356115475,1.6477613158338529,25.43631721914153
avg_displacement_mean,1.3774233333333334,1.041250834054834,1.678738825063825,0.637487991008991,0.2798266666666666,2.599878236652237
direction_alignment_mean,0.6461021505376343,0.5649333333333333,0.706,0.14106666666666667,0.024,0.896
directional_disorder_mean,0.1984,0.0806666666666666,0.2837269841269841,0.2030603174603175,0.0,0.4863111111111111
avg_speed_change_mean,17.27318482828283,15.110997428571428,19.82320208857809,4.712204660006661,5.8382,26.153995682539684
avg_velocity_change_mean,26.82072758523213,23.26339417308896,30.80813809600867,7.544743922919707,8.865333485571682,38.47282386527942
